algorithm,community_id,size,year_start,year_end,span_years,temporal_entropy,num_eras,dominant_era,num_countries,geographic_entropy,dominant_country,country_dominance,pagerank_mean,pagerank_std,pagerank_cv,gini_pagerank
Louvain,14,45,1972,1976,4,0.0,1,Guerra Fria (1950-1979),9,2.4036815000729073,USA,0.4666666666666667,0.000950629425639955,0.0008932116091859387,0.9396002112859455,0.39847701937844504
Louvain,15,3,1984,1984,0,0.0,1,Pós-Guerra Fria (1980-1999),2,0.9182958340544894,USA,0.6666666666666666,0.0007644026908611933,0.00046995910009917726,0.6148056590037781,0.3011522438546579
Louvain,16,3,2016,2016,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,KAZ,0.3333333333333333,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
Louvain,17,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),1,0.0,GRE,1.0,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Louvain,18,3,1956,1956,0,0.0,1,Guerra Fria (1950-1979),2,0.9182958340544894,JPN,0.6666666666666666,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Louvain,19,3,2016,2016,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,GRE,0.3333333333333333,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Louvain,20,6,1928,1936,8,0.6500224216483541,1,Entre Guerras (1920-1949),3,1.459147917027245,JPN,0.5,0.0007032805709805916,0.0003104310644542195,0.4414042947630163,0.2320622737429361
Louvain,21,3,1908,1908,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,GBR,0.6666666666666666,0.0006839210535116002,0.00025824392452847034,0.37759317863153075,0.2041012378931002
Louvain,22,11,1988,2000,12,1.3092966682370037,2,Pós-Guerra Fria (1980-1999),6,2.368522527728207,USA,0.36363636363636365,0.0008514438176996687,0.0004913911585173722,0.5771269322795194,0.3113368804467862
Louvain,23,68,1956,1968,12,0.1105808447698871,1,Guerra Fria (1950-1979),7,2.0965813022231994,USA,0.4117647058823529,0.0013439581576978757,0.0022715584695157717,1.6902002912105707,0.5468689372790039
Louvain,24,5,1932,1936,4,0.0,1,Entre Guerras (1920-1949),2,0.9709505944546688,JPN,0.6,0.0006149201305624449,0.00022017999108811924,0.3580627469241065,0.18953931388896472
Louvain,25,83,1964,1976,12,0.9998952874186193,1,Guerra Fria (1950-1979),9,2.4344093898320875,USA,0.4457831325301205,0.0010132560151410765,0.0011099995315212298,1.0954778604168303,0.4201993629963272
Louvain,26,3,1956,1956,0,0.0,1,Guerra Fria (1950-1979),3,1.584962500721156,JPN,0.3333333333333333,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Louvain,27,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,GRE,0.6666666666666666,0.0006839210535116002,0.00025824392452847034,0.37759317863153075,0.2041012378931002
Louvain,28,3,2021,2021,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,TUN,0.3333333333333333,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Louvain,29,4,1996,2000,4,0.8112781244591328,2,Era Moderna (2000+),3,1.5,AUS,0.5,0.0008080467906587199,0.00038632010350313526,0.47809125408221353,0.25770943328075124
Louvain,30,50,1948,1960,12,1.153398942778747,2,Guerra Fria (1950-1979),8,2.57966695315644,USA,0.4,0.0008911959930963713,0.0007538189693673292,0.845850940990276,0.36980917277022884
Louvain,31,14,1900,1900,0,0.0,1,Era Pioneira (1896-1919),3,1.1981174211304033,FRA,0.6428571428571429,0.0009148470787418813,0.0006029424656635958,0.6590636617573028,0.33157323762867486
Louvain,32,3,1908,1908,0,0.0,1,Era Pioneira (1896-1919),3,1.584962500721156,GER,0.3333333333333333,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Louvain,33,3,2021,2021,0,0.0,1,Era Moderna (2000+),2,0.9182958340544894,USA,0.6666666666666666,0.0006400979921368328,0.0002871709178797421,0.4486358673319413,0.22604652587023244
Louvain,34,51,2021,2021,0,0.0,1,Era Moderna (2000+),13,3.1420023052918706,USA,0.19607843137254902,0.0007247820422546129,0.0004956457780463998,0.683854937278208,0.3059581610150566
Louvain,35,3,2012,2012,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,HUN,0.3333333333333333,0.0007499378372284791,0.00044158268925105623,0.5888257230532586,0.2905820721605772
Louvain,36,3,1952,1952,0,0.0,1,Guerra Fria (1950-1979),2,0.9182958340544894,USA,0.6666666666666666,0.0006805500487904642,0.0002597363335433769,0.38165647626505067,0.20568899595800816
